nm	F0	F5	F9	F10
2295	68.6647	15.0085	4.98747	1.14983
2294	68.6647	15.1425	5.01262	1.1453
2293	69.1946	15.2347	5.02519	1.14606
2292	69.4177	15.2514	5.05789	1.17023
2291	69.8082	15.3435	5.08807	1.19742
2290	69.8361	15.4524	5.1258	1.20422
2289	70.0871	15.5027	5.15598	1.19666
2288	70.3102	15.5781	5.18616	1.17098
2287	70.5891	15.6702	5.20377	1.14304
2286	70.7564	15.6953	5.21383	1.11056
2285	70.8401	15.7539	5.2088	1.08866
2284	71.0074	15.8293	5.18616	1.09168
2283	71.3979	15.8544	5.16604	1.09696
2282	71.4537	15.9131	5.15598	1.11207
2281	71.4816	15.9549	5.13083	1.12113
2280	71.8720	15.9298	5.10065	1.12113
2279	71.9836	15.9214	5.08556	1.11056
2278	72.0394	15.9884	5.05538	1.10678
2277	72.2067	15.9968	5.07801	1.10225
2276	72.5972	16.0471	5.10316	1.11962
2275	72.5693	16.0387	5.14843	1.13246
2274	72.5693	16.0638	5.2264	1.14379
2273	72.7366	16.0303	5.29431	1.15965
2272	72.8203	15.9968	5.36222	1.16721
2271	72.7087	16.0136	5.41001	1.16947
2270	72.8203	16.0136	5.4251	1.17476
2269	72.9039	16.0303	5.41001	1.17098
2268	72.9876	16.0303	5.38234	1.16116
2267	72.8203	16.0554	5.33958	1.13624
2266	72.9597	16.0387	5.30689	1.08941
2265	72.9597	16.0889	5.29683	1.03579
2264	73.0713	16.0806	5.28677	0.99802
2263	73.0992	16.0638	5.28174	0.97536
2262	73.2665	16.0638	5.29934	0.98216
2261	73.3223	16.0638	5.28174	1.02144
2260	73.3502	16.1057	5.28677	1.07884
2259	73.6012	16.0554	5.32449	1.14077
2258	73.7128	16.1308	5.35719	1.19289
2257	73.8243	16.1811	5.40498	1.21932
2256	74.2148	16.2146	5.4427	1.22763
2255	74.2984	16.2816	5.44773	1.22008
2254	74.4379	16.3905	5.4754	1.20497
2253	74.5494	16.4072	5.48294	1.174
2252	74.9120	16.4575	5.493	1.14002
2251	75.0794	16.5161	5.50055	1.0947
2250	75.3583	16.5161	5.51816	1.06751
2249	75.3861	16.5580	5.54331	1.04636
2248	75.6371	16.6250	5.5584	1.02899
2247	75.9718	16.5747	5.58355	1.02446
2246	76.1392	16.5915	5.60618	1.02219
2245	76.2507	16.6250	5.61876	1.01841
2244	76.4460	16.6333	5.65146	1.02446
2243	76.6691	16.6585	5.66906	1.03654
2242	76.9201	16.7171	5.68164	1.05089
2241	77.0037	16.7422	5.72439	1.07959
2240	77.2827	16.7422	5.72439	1.11207
2239	77.3105	16.8092	5.76212	1.15739
2238	77.5894	16.9349	5.7747	1.20875
2237	77.7568	16.9432	5.77721	1.26388
2236	77.8126	16.9767	5.79482	1.32053
2235	78.0915	17.0354	5.78224	1.35603
2234	78.1194	17.0856	5.79482	1.37567
2233	78.2309	17.1442	5.7923	1.37567
2232	78.3982	17.1442	5.78476	1.35754
2231	78.6771	17.1777	5.75709	1.3311
2230	78.9839	17.1861	5.75206	1.30467
2229	79.0676	17.1861	5.73445	1.29032
2228	79.1792	17.2112	5.72439	1.27899
2227	79.4302	17.2029	5.69421	1.26917
2226	79.4860	17.1945	5.65397	1.27219
2225	79.6812	17.2280	5.63134	1.27748
2224	80.0437	17.2280	5.59864	1.29032
2223	80.3227	17.2112	5.59612	1.31751
2222	80.5179	17.3034	5.58103	1.35225
2221	80.8526	17.3704	5.58858	1.38171
2220	81.0199	17.4122	5.61121	1.40739
2219	81.2988	17.4039	5.6263	1.41796
2218	81.4103	17.4793	5.64391	1.40286
2217	81.5219	17.5546	5.64643	1.37567
2216	81.8008	17.6384	5.659	1.34092
2215	81.9681	17.6719	5.67912	1.31373
2214	82.3307	17.7305	5.66655	1.30165
2213	82.5259	17.6970	5.68667	1.30014
2212	82.7212	17.7221	5.69421	1.30845
2211	83.0279	17.7221	5.72691	1.30693
2210	83.2232	17.7975	5.76715	1.30542
2209	83.5021	17.8813	5.83003	1.29561
2208	84.0877	17.9985	5.89291	1.29787
2207	84.3667	18.0488	5.94069	1.30845
2206	84.8966	18.2079	5.98345	1.34017
2205	85.2870	18.3670	6.03878	1.39002
2204	85.7054	18.5178	6.06393	1.44968
2203	86.4305	18.6267	6.07651	1.51086
2202	86.9883	18.7523	6.09663	1.55769
2201	87.4903	18.8863	6.08908	1.57129
2200	87.9087	18.9533	6.08657	1.55769
2199	88.7454	19.0873	6.09411	1.53277
2198	89.6100	19.2381	6.10418	1.49576
2197	90.4467	19.4307	6.15951	1.46706
2196	91.2833	19.6401	6.19723	1.45497
2195	92.2037	19.8076	6.29029	1.46555
2194	93.0125	19.9500	6.34563	1.49123
2193	94.0444	20.1761	6.41605	1.51539
2192	94.9927	20.3520	6.48647	1.54863
2191	95.8852	20.5949	6.58456	1.56902
2190	96.8055	20.8043	6.66002	1.59394
2189	97.7538	21.0136	6.76817	1.61585
2188	98.7857	21.1979	6.8738	1.64757
2187	99.6503	21.3738	6.95177	1.68458
2186	100.487	21.6083	7.02722	1.72159
2185	101.546	21.8009	7.11525	1.75558
2184	102.550	21.9684	7.19825	1.78352
2183	103.527	22.2113	7.32149	1.80089
2182	104.503	22.4374	7.42209	1.81298
2181	105.339	22.6217	7.52018	1.80618
2180	106.092	22.8395	7.58809	1.78126
2179	106.929	23.1242	7.61827	1.74727
2178	107.822	23.3252	7.65851	1.70799
2177	108.742	23.4760	7.64845	1.66041
2176	109.495	23.7021	7.64342	1.61811
2175	110.304	23.9282	7.63336	1.57582
2174	111.113	24.1125	7.62079	1.53352
2173	111.949	24.2214	7.61827	1.5086
2172	112.591	24.4475	7.63588	1.50709
2171	113.344	24.5480	7.67864	1.53277
2170	114.208	24.7490	7.75409	1.59243
2169	115.017	24.8412	7.84463	1.66343
2168	115.686	24.9500	7.94272	1.73896
2167	116.300	25.1008	8.06848	1.7941
2166	116.969	25.1845	8.16908	1.84394
2165	117.667	25.3102	8.2722	1.87114
2164	118.252	25.4526	8.37029	1.88322
2163	118.699	25.5866	8.46335	1.88775
2162	119.424	25.6619	8.58156	1.88851
2161	120.065	25.8378	8.65953	1.88246
2160	120.651	25.9551	8.70732	1.88322
2159	121.041	26.0723	8.75259	1.88851
2158	121.822	26.1896	8.80038	1.89984
2157	122.352	26.3152	8.85068	1.92476
2156	122.882	26.4241	8.88841	1.95875
2155	123.440	26.5413	8.94625	1.99953
2154	124.193	26.6754	8.97643	2.03579
2153	124.890	26.8177	9.00913	2.07204
2152	125.364	26.9517	9.04686	2.09772
2151	125.950	27.1360	9.10722	2.10603
2150	126.675	27.3119	9.14243	2.09621
2149	127.093	27.4543	9.19022	2.07355
2148	127.651	27.6301	9.24052	2.04108
2147	128.237	27.8228	9.28831	2.01691
2146	128.906	27.9903	9.36879	1.995
2145	129.799	28.1913	9.42915	1.98745
2144	130.273	28.3420	9.487	2.00331
2143	130.998	28.5179	9.5197	2.02899
2142	131.779	28.5766	9.51718	2.066
2141	132.169	28.6687	9.53479	2.11811
2140	133.034	28.8697	9.55239	2.15664
2139	133.759	28.9367	9.56245	2.19667
2138	134.373	29.1209	9.61024	2.2231
2137	134.986	29.2131	9.69324	2.24123
2136	135.488	29.389	9.78881	2.25407
2135	136.074	29.4895	9.87936	2.24123
2134	136.660	29.6151	9.9523	2.21781
2133	137.217	29.7323	10.0227	2.1725
2132	137.552	29.8496	10.0931	2.12944
2131	138.221	29.9836	10.1258	2.08488
2130	138.891	30.1260	10.1509	2.04938
2129	139.532	30.2432	10.1509	2.02219
2128	140.174	30.3856	10.1560	2.01162
2127	140.732	30.5280	10.1384	2.02068
2126	141.345	30.6704	10.1233	2.04787
2125	142.182	30.8714	10.1384	2.09697
2124	142.740	31.0724	10.1610	2.1521
2123	143.576	31.3153	10.1937	2.2163
2122	143.995	31.5917	10.2742	2.2737
2121	144.692	31.7592	10.3349	2.31751
2120	145.529	31.9602	10.3899	2.35528
2119	146.226	32.1277	10.4653	2.3734
2118	146.672	32.2533	10.4980	2.38549
2117	147.202	32.3371	10.5383	2.39077
2116	148.094	32.4376	10.5735	2.38096
2115	148.708	32.5967	10.6087	2.36887
2114	149.182	32.7558	10.6565	2.35603
2113	149.907	32.8647	10.6867	2.35528
2112	150.549	32.9820	10.7244	2.36509
2111	151.134	33.1160	10.7697	2.38171
2110	151.804	33.2249	10.8149	2.40059
2109	152.473	33.3008	10.8426	2.42929
2108	153.170	33.3843	10.8929	2.45271
2107	153.896	33.5096	10.9181	2.48519
2106	154.565	33.5766	10.9357	2.50331
2105	155.123	33.7609	10.9533	2.51917
2104	156.015	33.8698	10.9759	2.51842
2103	156.629	34.0456	11.0061	2.51238
2102	157.298	34.2215	11.0488	2.50558
2101	158.218	34.4560	11.1142	2.50633
2100	158.944	34.6152	11.1897	2.51162
2099	159.725	34.7492	11.2526	2.52748
2098	160.450	34.8915	11.3154	2.53201
2097	161.175	34.9837	11.3834	2.54863
2096	161.509	35.1177	11.4638	2.58186
2095	162.430	35.3187	11.5594	2.61887
2094	163.350	35.4276	11.6525	2.6589
2093	163.824	35.6704	11.7405	2.68534
2092	164.661	35.7793	11.8210	2.6944
2091	165.247	35.9217	11.8688	2.69289
2090	165.777	36.0976	11.8964	2.68383
2089	166.390	36.2818	11.8989	2.67552
2088	167.004	36.4159	11.9166	2.68232
2087	167.757	36.5499	11.9291	2.69516
2086	168.454	36.6755	11.9819	2.70422
2085	169.235	36.8346	11.9920	2.73594
2084	169.821	36.9100	12.0222	2.75482
2083	170.323	37.0859	12.0473	2.78352
2082	171.104	37.2031	12.0423	2.81449
2081	171.578	37.3371	12.0574	2.83715
2080	172.442	37.3958	12.0700	2.86736
2079	173.251	37.5549	12.1027	2.88398
2078	173.753	37.6554	12.1706	2.90286
2077	174.422	37.7643	12.2083	2.92174
2076	174.897	37.8145	12.2586	2.93307
2075	175.259	37.8899	12.3139	2.93534
2074	175.733	37.9234	12.3441	2.92099
2073	176.291	37.9820	12.3743	2.90362
2072	176.682	37.9318	12.3995	2.87416
2071	177.351	37.9653	12.3869	2.85377
2070	177.853	37.9653	12.3995	2.84319
2069	178.327	37.9402	12.3969	2.83715
2068	178.801	38.0490	12.3969	2.83413
2067	179.359	38.0490	12.4196	2.84697
2066	179.666	38.0407	12.4347	2.86887
2065	179.833	38.1077	12.4296	2.89682
2064	180.363	38.0658	12.3919	2.92476
2063	180.586	38.0825	12.3466	2.94818
2062	180.921	38.0909	12.3114	2.96102
2061	181.004	38.0490	12.2712	2.96328
2060	181.451	38.1244	12.2335	2.94667
2059	181.925	38.1579	12.2259	2.91646
2058	182.371	38.2333	12.2435	2.86585
2057	182.734	38.2668	12.2485	2.81071
2056	182.873	38.2500	12.2284	2.76917
2055	183.264	38.3087	12.2460	2.72461
2054	183.515	38.2333	12.2460	2.6944
2053	183.682	38.2752	12.2259	2.6876
2052	184.156	38.2249	12.1907	2.68911
2051	184.240	38.1495	12.1605	2.71857
2050	184.435	38.1244	12.1379	2.75935
2049	184.407	38.0825	12.1228	2.79108
2048	184.519	37.9402	12.0926	2.81374
2047	184.825	37.8983	12.0599	2.81751
2046	184.853	37.8564	12.0473	2.80769
2045	185.244	37.6805	11.9870	2.7873
2044	185.244	37.5800	11.9216	2.75407
2043	185.439	37.4795	11.8964	2.7299
2042	185.467	37.3790	11.8185	2.708
2041	185.495	37.2199	11.7531	2.69062
2040	185.383	37.1110	11.6801	2.68534
2039	185.467	36.9770	11.5619	2.68005
2038	185.299	36.8346	11.5041	2.68081
2037	185.021	36.6755	11.4362	2.66948
2036	185.104	36.5582	11.3607	2.64984
2035	184.686	36.4242	11.3305	2.63096
2034	184.323	36.3070	11.2802	2.61963
2033	184.072	36.1897	11.235	2.6083
2032	183.933	36.0641	11.1847	2.6015
2031	183.459	35.9133	11.0941	2.58866
2030	183.068	35.771	11.0287	2.55467
2029	182.734	35.5867	10.9759	2.51842
2028	182.455	35.4192	10.9105	2.49576
2027	181.953	35.2014	10.8652	2.46253
2026	181.423	35.0339	10.7898	2.44138
2025	181.004	34.8832	10.7143	2.43005
2024	180.698	34.6822	10.6489	2.42023
2023	180.279	34.4560	10.5659	2.39606
2022	179.833	34.2215	10.4729	2.37114
2021	179.303	33.9619	10.3371	2.34999
2020	178.968	33.6939	10.2289	2.3379
2019	178.383	33.4677	10.1006	2.33262
2018	177.881	33.2249	9.97745	2.33186
2017	177.128	32.8815	9.84918	2.31751
2016	176.821	32.6386	9.75109	2.30014
2015	176.263	32.3538	9.66557	2.26766
2014	175.733	32.1444	9.59767	2.21555
2013	175.036	31.9016	9.50964	2.15437
2012	174.590	31.7005	9.4367	2.09017
2011	173.865	31.4409	9.34867	2.00935
2010	173.335	31.2148	9.2707	1.94289
2009	172.693	31.0389	9.20279	1.88322
2008	171.773	30.7793	9.11225	1.82959
2007	171.299	30.5699	9.02171	1.78956
2006	170.853	30.3689	8.94877	1.76615
2005	170.295	30.1595	8.82301	1.75935
2004	169.653	29.8747	8.72241	1.76086
2003	169.235	29.6737	8.59917	1.76766
2002	168.677	29.4308	8.48599	1.76011
2001	168.370	29.2968	8.39293	1.75029
2000	167.701	29.0874	8.32502	1.72083
1999	167.199	28.9451	8.24202	1.68836
1998	166.892	28.7776	8.17411	1.65814
1997	166.530	28.5766	8.11123	1.64606
1996	166.223	28.4174	8.00308	1.63775
1995	165.972	28.2415	7.9226	1.63926
1994	165.721	27.9987	7.86224	1.64228
1993	165.693	27.7558	7.78679	1.62793
1992	165.163	27.5966	7.73397	1.59923
1991	164.968	27.3203	7.68618	1.55618
1990	164.689	27.0941	7.61827	1.51615
1989	164.410	26.8764	7.5403	1.4731
1988	164.187	26.6335	7.48749	1.43684
1987	163.657	26.3738	7.41203	1.41343
1986	163.350	26.2398	7.32401	1.39908
1985	162.988	26.0891	7.24855	1.38926
1984	162.151	25.8462	7.15801	1.38851
1983	161.509	25.6033	7.06746	1.38926
1982	161.231	25.4358	6.97944	1.39002
1981	160.701	25.1343	6.90901	1.38851
1980	160.115	24.9165	6.83607	1.39304
1979	159.390	24.7407	6.7732	1.40135
1978	158.637	24.5061	6.71283	1.41116
1977	158.191	24.2800	6.65247	1.41494
1976	157.549	24.1125	6.60468	1.40663
1975	156.768	23.8780	6.55438	1.39379
1974	156.322	23.6184	6.48647	1.3802
1973	155.876	23.3755	6.39593	1.37416
1972	155.262	23.1493	6.31796	1.36811
1971	154.537	22.8227	6.23748	1.36358
1970	154.063	22.5547	6.14442	1.35527
1969	153.087	22.2867	6.07902	1.34243
1968	152.473	22.0354	6.00609	1.3228
1967	151.664	21.8093	5.908	1.29107
1966	151.107	21.5915	5.84512	1.26011
1965	150.409	21.4240	5.75961	1.23367
1964	149.824	21.1979	5.70679	1.2027
1963	149.126	20.9801	5.64391	1.17854
1962	148.178	20.8629	5.56846	1.15965
1961	147.146	20.6619	5.493	1.14153
1960	146.561	20.4357	5.40749	1.13246
1959	145.612	20.2431	5.3094	1.13322
1958	144.831	20.0337	5.20628	1.13322
1957	143.967	19.7490	5.13083	1.14304
1956	143.074	19.5396	5.04783	1.15286
1955	142.154	19.3302	4.98244	1.15663
1954	141.289	19.0203	4.91704	1.1657
1953	140.508	18.8361	4.8768	1.16494
1952	139.560	18.6769	4.84411	1.16947
1951	138.891	18.3922	4.81895	1.16721
1950	138.054	18.1493	4.82902	1.17023
