nm	Orig	F5		
444.1	60.59545	8.20178		
444	59.23865	7.86224		
443.9	57.89022	7.63839		
443.8	56.60042	7.36928		
443.7	55.27712	7.08759		
443.6	53.9287	6.80841		
443.5	52.61377	6.53929		
443.4	51.23184	6.26514		
443.3	49.71591	6.01363		
443.2	48.20835	5.75709		
443.1	46.67567	5.52067		
443	45.22674	5.26161		
442.9	43.7443	5.02016		
442.8	42.45451	4.78877		
442.7	40.98882	4.58505		
442.6	39.41426	4.35617		
442.5	37.99046	4.16754		
442.4	36.4159	3.94118		
442.3	35.04235	3.75003		
442.2	33.64367	3.55385		
442.1	32.25336	3.37025		
442	30.98031	3.20425		
441.9	29.77427	3.04329		
441.8	28.45097	2.87226		
441.7	27.24492	2.71381		
441.6	26.064	2.5629		
441.5	24.97521	2.39942		
441.4	23.87804	2.28121		
441.3	22.8395	2.15545		
441.2	21.83446	2.03976		
441.1	20.81267	1.89891		
441	19.85789	1.77567		
440.9	18.88635	1.68009		
440.8	17.96506	1.57949		
440.7	17.13591	1.49398		
440.6	16.29838	1.38331		
440.5	15.51947	1.27013		
440.4	14.70706	1.21983		
440.3	14.14592	1.1645		
440.2	13.35026	1.08653		
440.1	12.85612	1.02868		
440	12.20284	0.92556		
439.9	11.54957	0.87274		
439.8	10.94655	0.84759		
439.7	10.39377	0.7822		
439.6	9.908	0.73441		
439.5	9.32173	0.67153		
439.4	8.86947	0.63129		
439.3	8.52608	0.61872		
439.2	8.14081	0.56842		
439.1	7.57967	0.53572		
439	7.2949	0.48039		
438.9	6.99339	0.44266		
438.8	6.56625	0.41499		
438.7	6.29824	0.40242		
438.6	5.86273	0.3496		
438.5	5.64497	0.34457		
438.4	5.32671	0.2993		
438.3	5.03357	0.28924		
438.2	4.81581	0.23391		
438.1	4.52267	0.28924		
438	4.31329	0.20121		
437.9	4.10391	0.19115		
437.8	3.75214	0.1836		
437.7	3.59301	0.166		
437.6	3.45063	0.16348		
437.5	3.27475	0.11821		
437.4	2.97324	0.11066		
437.3	2.85598	0.10815		
437.2	2.73873	0.10312		
437.1	2.58797	0.08551		
437	2.42047	0.06288		
436.9	2.26971	0.07042		
436.8	2.13571	0.07042		
436.7	2.11896	0.07545		
436.6	1.85932	0.08803		
436.5	1.71694	0.10815		
436.4	1.8342	0.14336		
436.3	1.66669	0.17103		
436.2	1.57456	0.20875		
436.1	1.51593	0.30433		
436	1.41543	0.30684		
435.9	1.54106	0.36972		
435.8	1.31493	0.36721		
435.7	1.2563	0.42254		
435.6	1.19767	0.49045		
435.5	1.11392	0.53572		
435.4	1.07204	0.55081		
435.3	1.12229	0.58602		
435.2	0.97154	0.54075		
435.1	0.84591	0.53823		
435	0.77053	0.47536		
