nm	ZC37	ZC90	ZC84	ZC78	ZC88
632	27.38705	12.03984	39.39751	24.23818	14.77407	
631	27.16823	12.08511	39.58177	24.28006	14.64844	
630	26.76079	12.16056	39.69902	24.39731	14.58143	
629	26.43885	12.16308	39.87491	24.31356	14.56468	
628	26.10937	12.14296	40.11779	24.33031	14.56468	
627	25.71198	12.22344	40.2518	24.35544	14.53118	
626	25.29196	12.17314	40.3523	24.40569	14.46418	
625	24.87697	12.15302	40.55331	24.39731	14.46418	
624	24.51982	12.1329	40.72081	24.42244	14.55631	
623	24.24568	12.17062	40.83807	24.36381	14.53118	
622	23.89859	12.18068	41.05583	24.38056	14.49768	
621	23.51881	12.19326	41.1312	24.53132	14.51443	
620	23.14657	12.19829	41.37409	24.71557	14.53118	
619	22.81709	12.25614	41.58347	24.76583	14.53956	
618	22.3191	12.30644	41.91848	24.87471	14.54793	
617	21.96195	12.33662	42.53826	24.99196	14.58143	
616	21.76577	12.47747	42.69739	25.20134	14.75732	
615	21.45893	12.57053	43.12453	25.51123	14.94995	
614	21.20994	12.59065	43.49305	25.60336	15.12583	
613	20.94836	12.65604	43.97044	25.91325	15.20958	
612	20.722	12.73653	44.57346	26.25663	15.25984	
611	20.47301	12.87989	45.15136	26.53302	15.65348	
610	20.22401	13.07858	45.66225	26.95178	15.85448	
609	20.0555	13.315	46.50816	27.47105	16.05549	
608	20.05298	13.63945	47.89009	28.0992	16.60826	
607	20.24162	14.06199	49.70753	29.04562	17.23641	
606	20.49062	14.48704	51.57523	30.22654	17.77243	
605	20.65913	14.8618	53.22517	31.16457	18.28333	
604	20.70691	15.19882	54.72435	31.96023	18.74397	
603	20.67422	15.45788	56.07278	32.77263	19.22974	
602	20.59876	15.73202	57.39608	33.39241	19.69876	
601	20.45792	15.99862	58.59375	33.7358	19.99189	
600	20.32462	16.22247	59.77467	34.70733	20.2934	
599	20.16365	16.34823	60.93884	35.36898	20.52791	
598	19.95741	16.53434	62.02763	35.94688	20.9383	
597	19.70841	16.77076	63.01592	36.5164	21.21469	
596	19.47702	16.98958	64.06283	37.11105	21.49945	
595	19.28839	17.17821	65.15163	37.69732	21.77584	
594	19.11988	17.29894	66.29067	38.05746	22.04385	
593	18.85328	17.49009	66.92719	38.67724	22.32861	
592	18.58668	17.65608	67.71448	39.21326	22.56312	
591	18.29995	17.83466	68.57713	39.66552	22.91488	
590	17.96041	18.03335	69.52354	40.14292	23.09076	
589	17.65357	18.11635	70.4197	40.53656	23.30014	
588	17.32912	18.27229	71.11486	41.01395	23.5179	
587	16.99461	18.39301	71.81838	41.63372	23.90317	
586	16.70034	18.44331	72.54704	42.19487	24.17118	
585	16.43626	18.5238	73.25894	42.55501	24.28006	
584	16.08665	18.55398	73.84521	42.98215	24.44756	
583	15.69933	18.74764	74.48174	43.38417	24.60669	
582	15.42769	18.81304	74.81675	43.73593	24.79095	
581	15.12085	18.891	75.38627	43.95369	24.94171	
580	14.78886	18.96897	76.01442	44.3557	25.07571	
579	14.43674	19.01424	76.34943	44.81635	25.18459	
578	14.13493	19.00418	76.63419	45.0341	25.2851	
577	13.82808	18.96394	77.06971	45.26024	25.47773	
576	13.49106	18.83064	77.35447	45.545	25.66199	
575	13.13894	18.91112	77.55548	45.93026	25.82112	
574	12.87234	18.92622	77.84024	46.14802	25.87137	
573	12.56801	18.92118	78.06637	46.33228	25.82949	
572	12.24356	18.86082	78.08312	46.57516	25.59498	
571	11.94426	18.80046	78.00775	46.77617	25.82112	
570	11.63742	18.7074	77.78999	46.89343	25.98025	
569	11.34064	18.62943	77.94074	46.9688	25.94675	
568	11.04386	18.55901	77.92399	47.02743	26.00537	
567	10.75462	18.45589	77.84024	47.16144	25.98025	
566	10.49808	18.31253	77.63923	47.27032	25.94675	
565	10.23902	18.13144	77.43822	47.34569	25.82949	
564	10.00763	17.98808	77.07808	47.16981	25.72899	
563	9.76115	17.88747	76.66769	46.9688	25.77924	
562	9.5197	17.76675	76.43319	46.98555	25.72899	
561	9.25813	17.64602	76.16517	46.99393	25.55311	
560	9.02925	17.56554	75.55378	46.95205	25.34372	
559	8.82553	17.41715	75.07638	46.8683	25.17622	
558	8.61426	17.20336	74.50686	46.60866	25.11759	
557	8.36526	16.93173	73.73633	46.47466	24.90821	
556	8.15902	16.71543	73.01605	46.31553	24.71557	
555	7.96284	16.48404	72.11989	46.13965	24.49782	
554	7.83206	16.26271	71.35774	45.91351	24.28006	
553	7.66858	16.0615	70.51183	45.55337	24.17955	
552	7.38688	15.78735	69.65755	45.25186	23.87804	
