nm	f1	f2	f3	f4
590	69.5235	40.1429	23.0907	18.0333
589	70.4197	40.5365	23.3001	18.1163
588	71.1148	41.0139	23.5179	18.2722
587	71.8183	41.6337	23.9031	18.3930
586	72.5470	42.1948	24.1711	18.4433
585	73.2589	42.5550	24.2800	18.5238
584	73.8452	42.9821	24.4475	18.5539
583	74.4817	43.3841	24.6066	18.7476
582	74.8167	43.7359	24.7909	18.8130
581	75.3862	43.9536	24.9417	18.8910
580	76.0144	44.3557	25.0757	18.9689
579	76.3494	44.8163	25.1845	19.0142
578	76.6341	45.0341	25.2851	19.0041
577	77.0697	45.2602	25.4777	18.9639
576	77.3544	45.5450	25.6619	18.8306
575	77.5554	45.9302	25.8211	18.9111
574	77.8402	46.1480	25.8713	18.9262
573	78.0663	46.3322	25.8294	18.9211
572	78.0831	46.5751	25.5949	18.8608
571	78.0077	46.7761	25.8211	18.8004
570	77.7899	46.8934	25.9802	18.7074
569	77.9407	46.9688	25.9467	18.6294
568	77.9239	47.0274	26.0053	18.5590
567	77.8402	47.1614	25.9802	18.4558
566	77.6392	47.2703	25.9467	18.3125
565	77.4382	47.3456	25.8294	18.1314
564	77.0780	47.1698	25.7289	17.9880
563	76.6676	46.9688	25.7792	17.8874
562	76.4331	46.9855	25.7289	17.7667
561	76.1651	46.9939	25.5531	17.6460
560	75.5537	46.9520	25.3437	17.5655
559	75.0763	46.8683	25.1762	17.4171
558	74.5068	46.6086	25.1175	17.2033
557	73.7363	46.4746	24.9082	16.9317
556	73.0160	46.3155	24.7155	16.7154
555	72.1198	46.1396	24.4978	16.4840
554	71.3577	45.9135	24.2800	16.2627
553	70.5118	45.5533	24.1795	16.0615
552	69.6575	45.2518	23.8780	15.7873
551	68.6022	44.9671	23.6351	15.5383
550	67.3794	44.5985	23.3085	15.3472
549	66.2571	44.1547	23.0070	15.0856
548	65.2102	43.8448	22.6887	14.8265
547	63.7697	43.5098	22.2113	14.5549
546	62.2537	43.2166	21.8763	14.3185
545	60.6959	42.8313	21.5497	14.0745
