nm	Orig	F5	F7	F9
467.1	13.87791	5.02519	2.8278	1.28475
467	14.07054	5.10819	2.86254	1.30665
466.9	14.3218	5.16101	2.89502	1.31722
466.8	14.48931	5.22137	2.92976	1.34215
466.7	14.74057	5.27922	2.97735	1.3633
466.6	15.14258	5.40749	3.02267	1.38218
466.5	15.36034	5.49049	3.05061	1.40937
466.4	15.61997	5.57852	3.11859	1.42901
466.3	15.84611	5.67409	3.16466	1.45091
466.2	16.07224	5.75961	3.20922	1.46904
466.1	16.28163	5.90045	3.26058	1.48792
466	16.61664	6.00357	3.31949	1.49623
465.9	16.87627	6.02118	3.38596	1.50831
465.8	17.11078	6.11927	3.43807	1.5287
465.7	17.36204	6.19723	3.49321	1.54985
465.6	17.5798	6.3255	3.5423	1.56949
465.5	17.80593	6.41605	3.59291	1.59366
465.4	17.94831	6.50408	3.64276	1.6284
465.3	18.46758	6.58959	3.69714	1.65937
465.2	18.73559	6.68768	3.75001	1.69411
465.1	19.02873	6.79332	3.79533	1.71526
465	19.25486	6.89392	3.83158	1.73112
464.9	19.59825	6.98195	3.87614	1.76284
464.8	19.93327	7.09262	3.92373	1.79003
464.7	20.1929	7.21586	3.97282	1.7923
464.6	20.44416	7.32149	4.03853	1.80514
464.5	20.35203	7.42209	4.09593	1.82704
464.4	20.96343	7.47743	4.15711	1.8346
464.3	21.21469	7.573	4.21678	1.85952
464.2	21.4492	7.69876	4.27191	1.88671
464.1	21.74233	7.77421	4.32554	1.9139
464	21.97684	7.83709	4.3701	1.94487
463.9	22.34536	7.92009	4.41542	1.96753
463.8	22.63849	8.01314	4.45469	1.98868
463.7	22.81438	8.1062	4.50983	2.01284
463.6	23.18289	8.17663	4.56572	2.03097
463.5	23.42577	8.23447	4.61633	2.05136
463.4	23.71891	8.28478	4.66617	2.07251
463.3	23.9953	8.36023	4.71753	2.08384
463.2	24.30518	8.44071	4.76058	2.09593
463.1	24.63182	8.57905	4.79608	2.11103
463	24.8077	8.69474	4.83234	2.13445
462.9	25.07571	8.79032	4.86482	2.15635
462.8	25.4861	8.8708	4.90031	2.18203
462.7	25.73736	8.95631	4.94488	2.20469
462.6	26.02212	9.10973	4.99095	2.24396
462.5	26.29013	9.12231	5.03853	2.2417
462.4	26.53302	9.19273	5.09367	2.26209
462.3	26.89316	9.26819	5.15334	2.27871
462.2	27.17792	9.37885	5.20772	2.2923
462.1	27.44593	9.43921	5.26361	2.31949
462	27.68044	9.5197	5.31648	2.32856
461.9	27.9317	9.60018	5.37312	2.34366
461.8	28.33371	9.67563	5.42222	2.36934
461.7	28.66035	9.76869	5.48491	2.38747
461.6	29.00374	9.88187	5.5476	2.40559
461.5	29.27175	9.99757	5.61633	2.41995
461.4	29.55651	10.11326	5.67071	2.4343
461.3	29.80777	10.23399	5.70696	2.44638
461.2	30.05903	10.32705	5.73566	2.45544
461.1	30.31029	10.42514	5.76814	2.47282
461	30.29354	10.52071	5.79835	2.48868
460.9	30.58667	10.62132	5.84896	2.51587
460.8	31.24832	10.74959	5.90258	2.54834
460.7	31.60846	10.86528	5.94412	2.56496
460.6	31.89322	10.96337	5.98264	2.58233
460.5	32.37062	11.06649	6.02947	2.60348
460.4	32.57163	11.14698	6.07328	2.61859
460.3	33.04902	11.24506	6.11859	2.62312
460.2	33.35891	11.31549	6.17675	2.63973
460.1	33.67717	11.39849	6.23038	2.65711
460	34.03731	11.484	6.28174	2.67599
459.9	34.39745	11.59466	6.32856	2.6926
459.8	34.74083	11.70281	6.36784	2.70771
459.7	35.04235	11.81348	6.40183	2.72282
459.6	35.28523	11.9166	6.43355	2.74019
459.5	35.62862	12.0172	6.46376	2.75831
459.4	35.99713	12.13038	6.50681	2.77569
459.3	36.18139	12.23602	6.55289	2.80816
459.2	36.49128	12.35423	6.60802	2.81874
459.1	36.77604	12.39195	6.66769	2.82176
459	36.93517	12.47747	6.72736	2.82327
458.9	37.52144	12.52274	6.75379	2.81723
458.8	37.99046	12.58562	6.77947	2.82025
458.7	38.14959	12.64095	6.7976	2.82025
458.6	38.43435	12.70634	6.81875	2.821
458.5	38.73586	12.75162	6.84065	2.82402
458.4	38.93687	12.79689	6.86633	2.82025
458.3	39.22163	12.86983	6.91542	2.82327
458.2	39.39751	12.93522	6.94866	2.82176
458.1	39.61527	13.02325	6.97132	2.82251
458	40.00891	13.09116	6.98718	2.82402
457.9	40.34392	13.15906	6.99397	2.82176
457.8	40.70406	13.13894	6.99246	2.81496
457.7	41.03908	13.17667	6.97811	2.8127
457.6	41.34059	13.28733	6.97358	2.80816
457.5	41.61697	13.30243	6.95621	2.80514
457.4	41.80123	13.3477	6.94186	2.79004
457.3	42.00224	13.36279	6.93355	2.78853
457.2	42.21162	13.36027	6.91165	2.76889
457.1	42.45451	13.34267	6.90636	2.75529
457	42.52151	13.32506	6.89579	2.74396
456.9	42.62201	13.32255	6.89277	2.72584
456.8	42.73089	13.30243	6.87766	2.71224
456.7	42.78952	13.2647	6.86104	2.69109
456.6	42.64714	13.23703	6.83461	2.66466
456.5	42.77277	13.2144	6.79911	2.6284
456.4	42.8649	13.17164	6.7621	2.58837
456.3	43.32554	13.15655	6.72585	2.55967
456.2	43.39254	13.13391	6.68582	2.5136
456.1	43.66893	13.12134	6.64352	2.48868
456	43.87831	13.09367	6.57554	2.45998
455.9	44.07094	13.0811	6.52041	2.43203
455.8	44.24682	13.04337	6.48189	2.39049
455.7	44.44783	12.99558	6.4192	2.35424
455.6	44.67397	12.95031	6.36935	2.31723
455.5	44.9001	12.87486	6.32554	2.29079
455.4	45.05923	12.79689	6.28098	2.24623
455.3	45.25186	12.74659	6.23264	2.21904
455.2	45.31049	12.67113	6.17071	2.18656
455.1	45.37749	12.59065	6.10122	2.15257
455	45.46962	12.52526	6.02796	2.11556
454.9	45.52825	12.46238	5.95016	2.07856
454.8	45.58688	12.35674	5.88823	2.04381
454.7	45.69575	12.27877	5.82403	2.00529
454.6	45.93864	12.20081	5.76512	1.96904
454.5	46.18152	12.12032	5.70016	1.93203
454.4	46.41603	12.02475	5.6337	1.90182
454.3	46.64217	11.92414	5.55137	1.86632
454.2	46.85992	11.82857	5.47509	1.82704
454.1	47.06931	11.76821	5.39805	1.79834
454	47.4127	11.69778	5.31648	1.76738
453.9	47.63045	11.60975	5.23113	1.72659
453.8	47.84821	11.5167	5.14654	1.68883
453.7	48.14972	11.45885	5.06421	1.6488
453.6	48.27535	11.3834	4.99397	1.60801
453.5	48.46799	11.29034	4.93128	1.5642
453.4	48.69412	11.19728	4.87992	1.5287
453.3	48.92025	11.07152	4.82554	1.48943
453.2	49.12126	10.99104	4.76587	1.45242
453.1	49.27202	10.89546	4.69639	1.42221
453	49.56515	10.82756	4.61708	1.38293
452.9	49.84154	10.76216	4.53853	1.34064
452.8	50.08442	10.6842	4.45167	1.30816
452.7	50.42781	10.61629	4.36708	1.27719
452.6	50.7377	10.54838	4.27569	1.25076
452.5	51.04759	10.49556	4.19941	1.22659
452.4	51.3826	10.43268	4.13294	1.20091
452.3	51.75949	10.35471	4.07252	1.17523
452.2	52.18663	10.25411	4.01965	1.14804
452.1	52.53839	10.14093	3.96829	1.11858
452	52.8399	10.05793	3.91542	1.08535
451.9	53.10791	9.95733	3.85122	1.03777
451.8	53.44293	9.89696	3.78853	1.0204
451.7	53.83657	9.86427	3.71678	0.99169
451.6	54.27208	9.82906	3.64578	0.96224
451.5	54.89186	9.7863	3.58687	0.93203
451.4	55.56188	9.71085	3.53626	0.90786
451.3	56.29054	9.66809	3.49094	0.87236
451.2	56.97731	9.61779	3.44865	0.85801
451.1	57.48821	9.59767	3.40862	0.83006
451	58.0326	9.58258	3.36632	0.8074
450.9	58.6105	9.59515	3.32025	0.78248
450.8	59.19677	9.60521	3.28475	0.7636
450.7	59.84167	9.62282	3.25303	0.74169
450.6	60.38607	9.64294	3.23113	0.72206
450.5	60.98909	9.64294	3.19412	0.70544
450.4	61.63399	9.66809	3.16919	0.69487
450.3	62.35427	9.67815	3.1352	0.68429
450.2	63.00754	9.69827	3.10046	0.66919
450.1	63.76132	9.72845	3.05665	0.66088
450	64.50673	9.74857	3.02342	0.65106
449.9	65.21025	9.79384	3.00001	0.63746
449.8	65.86353	9.8366	2.98943	0.62085
449.7	66.55868	9.8693	2.9849	0.61254
449.6	67.26221	9.9196	2.98112	0.59668
449.5	67.96573	9.97242	2.96828	0.58157
449.4	68.60226	10.0529	2.95091	0.57251
449.3	69.18853	10.14344	2.94185	0.55061
449.2	69.76643	10.24908	2.92448	0.53172
449.1	70.31082	10.34968	2.91617	0.52493
449	70.88872	10.44777	2.91919	0.52039
448.9	71.44987	10.49808	2.91164	0.52568
448.8	72.14502	10.59365	2.90409	0.52342
448.7	72.78992	10.69677	2.89729	0.51813
448.6	73.33432	10.79235	2.89955	0.51888
448.5	73.94571	10.88289	2.90635	0.51133
448.4	74.44823	11.00864	2.9139	0.50604
448.3	74.88375	11.11931	2.92901	0.49925
448.2	75.21039	11.20985	2.94336	0.49622
448.1	75.6124	11.28531	2.95922	0.48414
448	75.97254	11.37836	2.97357	0.48338
447.9	76.35781	11.46639	2.98037	0.48263
447.8	76.62582	11.57957	2.98943	0.4849
447.7	76.95245	11.68772	3.00454	0.48263
447.6	77.21209	11.76821	3.01964	0.48036
447.5	77.49685	11.83863	3.0272	0.47508
447.4	77.62248	11.89145	3.03928	0.47357
447.3	77.74811	11.93672	3.0423	0.46979
447.2	77.77324	11.97948	3.04608	0.46677
447.1	77.97424	12.02223	3.04835	0.46299
447	78.04125	12.04738	3.06798	0.46375
446.9	78.10825	12.05996	3.06119	0.46828
446.8	78.30926	12.07756	3.05061	0.46601
446.7	78.00775	12.08511	3.04986	0.46903
446.6	77.69786	12.09769	3.03928	0.46375
446.5	77.50523	12.11529	3.03475	0.46677
446.4	77.50523	12.13038	3.02569	0.46752
446.3	77.29584	12.07505	3.01511	0.46148
446.2	77.06971	11.98702	3.01209	0.45393
446.1	76.7347	11.88642	2.97735	0.44713
446	76.38293	11.79336	2.95016	0.43958
445.9	75.96417	11.70533	2.91919	0.42825
445.8	75.45327	11.65754	2.89578	0.41994
445.7	74.9675	11.59466	2.87085	0.41692
445.6	74.49849	11.48903	2.83838	0.41088
445.5	73.87034	11.34818	2.80137	0.40181
445.4	73.33432	11.17213	2.76285	0.39502
445.3	72.63079	10.99104	2.72584	0.39199
445.2	71.92726	10.82001	2.67674	0.38595
445.1	71.09811	10.62383	2.6284	0.37311
445	70.36108	10.42262	2.56798	0.36556
444.9	69.51517	10.23147	2.50454	0.3565
444.8	68.71114	9.97242	2.44336	0.34215
444.7	67.76473	9.71839	2.37765	0.32628
444.6	66.75131	9.47694	2.321	0.31798
444.5	65.62902	9.20782	2.2568	0.30967
444.4	64.4481	8.95883	2.20393	0.29683
444.3	63.2253	8.6872	2.13898	0.2855
444.2	61.91038	8.45329	2.07176	0.27266
444.1	60.59545	8.20178	2.00529	0.26586
444	59.23865	7.86224	1.92901	0.2568
